titulo;autor;año;descripcion;tecnica;galeria;img
PICNIC: REMINISCENCIAS SOBRE LA MESA;Cristal Luque Castro;2024;Trabajando a partir de lo figurativo y utilizando el soporte del lienzo como superficie sensible las obras pictóricas capturan pequeños momentos de pausa y conexión que hacen referencia al ser a sus dimensiones psíquicas y al espacio que habita con un interés por los universos que se construyen entre los individuos y su entorno.;Óleo sobre lienzo;IV;2131165474
Bañera;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165306
Canto a la luna;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165328
El desayuno;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165306
Meditar;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165422
Antes de dormir;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165360
Cafe en la tarde;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165327
Transporte publico;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades..;Acuarela sobre cartulina;II;2131165493
Buscando;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165326
Tejiendo para el frio;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165488
Paraguas;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165479
Limonada rosa;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165397
Chicha morada;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165330
Coqueta;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165351
Tomando el sol;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165490
Llanto infinito;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165398
Mirando la lluvia;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165423
Reconciliacion;Sol Alejo;2024;Desde que suena el despertador hasta que apagamos la luz del cuarto y caemos en los sueños, seguimos un guion escrito pasivamente por nosotros, determinado por nuestras responsabilidades, esculpido por las interacciones y pulido por el disfrute o las adversidades.;Acuarela sobre cartulina;II;2131165482
